Time,Demand,Day,Month,Year,Winter,Spring,Summer,Fall,sma,ema
2014-06-07 00:00:00,0,7,6,2014,0,0,1,0,1.6,3.0024618990460135
2014-06-07 03:00:00,0,7,6,2014,0,0,1,0,3.0,3.0439936208422047
2014-06-07 06:00:00,1,7,6,2014,0,0,1,0,3.0,2.001641266030676
2014-06-07 09:00:00,1,7,6,2014,0,0,1,0,2.8,2.02932908056147
2014-06-07 12:00:00,6,7,6,2014,0,0,1,0,2.6,1.3344275106871173
2014-06-07 15:00:00,7,7,6,2014,0,0,1,0,1.4,1.3528860537076468
2014-06-07 18:00:00,0,7,6,2014,0,0,1,0,0.4,1.556285007124745
2014-06-07 21:00:00,0,7,6,2014,0,0,1,0,2.0,3.5685907024717647
2014-06-08 00:00:00,0,8,6,2014,0,0,1,0,2.8,2.3708566714164965
2014-06-08 03:00:00,0,8,6,2014,0,0,1,0,3.8,4.045727134981177
2014-06-08 06:00:00,2,8,6,2014,0,0,1,0,4.4,2.580571114277664
2014-06-08 09:00:00,8,8,6,2014,0,0,1,0,4.0,2.6971514233207845
2014-06-08 12:00:00,4,8,6,2014,0,0,1,0,2.4,1.7203807428517761
2014-06-08 15:00:00,5,8,6,2014,0,0,1,0,1.6,1.798100948880523
2014-06-08 18:00:00,3,8,6,2014,0,0,1,0,1.0,1.813587161901184
2014-06-08 21:00:00,0,8,6,2014,0,0,1,0,0.8,1.8654006325870154
2014-06-09 00:00:00,0,9,6,2014,0,0,1,0,1.8,2.8757247746007892
2014-06-09 03:00:00,0,9,6,2014,0,0,1,0,2.0,1.5769337550580103
2014-06-09 06:00:00,2,9,6,2014,0,0,1,0,2.6,2.9171498497338595
2014-06-09 09:00:00,2,9,6,2014,0,0,1,0,2.4,1.3846225033720068
2014-06-09 12:00:00,5,9,6,2014,0,0,1,0,2.0,1.9447665664892397
2014-06-09 15:00:00,1,9,6,2014,0,0,1,0,1.0,0.9230816689146712
